date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:07	287630/287630	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-4638e%22	https://code.jquery.com/jquery-3.5.1.js	C:/Users/Marlon/Desktop/prueba/smv/code.jquery.com/jquery-3.5.1.js	(from https://www.cl-rp.com/)
22:58:07	81084/81084	---M-Z	200	added ('OK')	application/javascript	etag:%2213cbc-5ac48b3f1fc17-gzip%22	https://www.cl-rp.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://www.cl-rp.com/)
22:58:07	2532/2532	---M-Z	200	added ('OK')	application/javascript	etag:%229e4-5ac48b34b98d9-gzip%22	https://www.cl-rp.com/assets/vendor/jquery.easing/jquery.easing.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/jquery.easing/jquery.easing.min.js	(from https://www.cl-rp.com/)
22:58:08	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:%222344-5ac48b382a9b5-gzip%22	https://www.cl-rp.com/assets/vendor/waypoints/jquery.waypoints.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/waypoints/jquery.waypoints.min.js	(from https://www.cl-rp.com/)
22:58:08	2406/2406	---M-Z	200	added ('OK')	application/javascript	etag:%22966-5ac48b31ec4f0-gzip%22	https://www.cl-rp.com/assets/vendor/counterup/counterup.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/counterup/counterup.min.js	(from https://www.cl-rp.com/)
22:58:09	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%228a75-5ac48b32cd264-gzip%22	https://www.cl-rp.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://www.cl-rp.com/)
22:58:09	15013/15013	---M-Z	200	added ('OK')	application/javascript	etag:%223aa5-5ac48b37985ff-gzip%22	https://www.cl-rp.com/assets/vendor/venobox/venobox.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/venobox/venobox.min.js	(from https://www.cl-rp.com/)
22:58:10	11749/11749	---M-Z	200	added ('OK')	application/javascript	etag:%222de5-5ac48b368482f-gzip%22	https://www.cl-rp.com/assets/vendor/typed.js/typed.min.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/typed.js/typed.min.js	(from https://www.cl-rp.com/)
22:58:10	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%223962-5ac48b3164d17-gzip%22	https://www.cl-rp.com/assets/vendor/aos/aos.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/aos/aos.js	(from https://www.cl-rp.com/)
22:58:11	5059/5059	---M-Z	200	added ('OK')	application/javascript	etag:%2213c3-5ac48b30c1025-gzip%22	https://www.cl-rp.com/assets/js/main.js	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/js/main.js	(from https://www.cl-rp.com/)
22:58:12	537868/537868	---M--	200	added ('OK')	text/html	etag:%228350c-5ac48b4ac8732%22	https://www.cl-rp.com/assets/vendor/icofont/fonts/icofont.woff2	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/icofont/fonts/icofont.html	(from https://www.cl-rp.com/assets/vendor/icofont/icofont.min.css)
22:58:12	645604/645604	---M--	200	added ('OK')	application/x-font-woff	etag:%229d9e4-5ac48b4ada455%22	https://www.cl-rp.com/assets/vendor/icofont/fonts/icofont.woff	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/icofont/fonts/icofont.woff	(from https://www.cl-rp.com/assets/vendor/icofont/icofont.min.css)
22:58:12	263296/263296	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2240480-5ac48b44a1197%22	https://www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.eot	(from https://www.cl-rp.com/assets/vendor/boxicons/css/boxicons.min.css)
22:58:13	89924/89924	---M--	200	added ('OK')	text/html	etag:%2215f44-5ac48b47b4689%22	https://www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.html	(from https://www.cl-rp.com/assets/vendor/boxicons/css/boxicons.min.css)
22:58:13	263204/263204	---M--	200	added ('OK')	application/x-font-woff	etag:%2240424-5ac48b4787003%22	https://www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.woff	(from https://www.cl-rp.com/assets/vendor/boxicons/css/boxicons.min.css)
22:58:13	263128/263128	---M--	200	added ('OK')	application/x-font-ttf	etag:%22403d8-5ac48b46891be%22	https://www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://www.cl-rp.com/assets/vendor/boxicons/css/boxicons.min.css)
22:58:14	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-5ac48b4c189cb%22	https://www.cl-rp.com/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://www.cl-rp.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
22:58:14	8908/8908	---M--	200	added ('OK')	text/html	etag:%2222cc-5c8bd6e8a3412%22	https://www.cl-rp.com/assets/css/mc/minecraft-webfont.woff2	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/css/mc/minecraft-webfont.html	(from https://www.cl-rp.com/assets/css/style.css)
22:58:14	933813/933813	---M--	200	added ('OK')	image/svg+xml	etag:%22e3fb5-5ac48b46de8da%22	https://www.cl-rp.com/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://www.cl-rp.com/assets/vendor/boxicons/css/boxicons.min.css)
22:58:15	11888/11888	---M--	200	added ('OK')	application/x-font-woff	etag:%222e70-5c8bd6e87f5e2%22	https://www.cl-rp.com/assets/css/mc/minecraft-webfont.woff	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/css/mc/minecraft-webfont.woff	(from https://www.cl-rp.com/assets/css/style.css)
22:58:15	585657/585657	---M--	200	added ('OK')	image/jpeg	etag:%228efb9-5c870d5b297f9%22	https://www.cl-rp.com/assets/img/hero-bg.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/assets/img/hero-bg.jpg	(from https://www.cl-rp.com/assets/css/style.css)
22:58:15	5991/5991	---M--	200	added ('OK')	image/png	etag:%221767-5b0029b4d1c55%22	https://www.cl-rp.com/tienda/assets/img/favicon.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/img/favicon.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:16	29391/29391	---M--	200	added ('OK')	image/png	etag:%2272cf-5b0029b4e31a9%22	https://www.cl-rp.com/tienda/assets/img/apple-touch-icon.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/img/apple-touch-icon.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:16	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%2227293-5b0029d7ee156-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://www.cl-rp.com/tienda/index.html)
